found_at,listed_at,expected_ship_days,title,description,store_url,store_price,asin,amazon_rank,amazon_price,amazon_url,amazon_category,shipping_cost
1414108800,1414108800,7,Rolly Valtra FarmTrac Pedal Tractor with Front Loader,~,http://www.target.com/p/kettler-valtra-farmtrac-w-front-loader-ride-on-toy/-/A-14714887#prodSlot=_1_3,409.99,B00BIFZZHE,230556,624.99,http://www.amazon.com/Rolly-Valtra-FarmTrac-Tractor-Loader/dp/B00BIFZZHE/ref=sr_1_fkmr0_1?ie=UTF8&qid=1414276340&sr=8-1-fkmr0&keywords=Kettler+VALTRA+FarmTrac+w%252FFront+Loader+Ride+On+Toy,Toys & Games,~
1414108800,1414108800,7,Little Tikes Endless Adventures Tikes Town,~,http://www.target.com/p/little-tikes-town-playhouse/-/A-10102212#prodSlot=_1_9,302.99,B00030EPJE,110681,454.48,http://www.amazon.com/Little-Tikes-Endless-Adventures-Town/dp/B00030EPJE/ref=sr_1_1?ie=UTF8&qid=1414278103&sr=8-1&keywords=Little+Tikes+Town+Playhouse,Toys & Games,~
1414627200,1414627200,7,"Exerpeutic LX9 High-Capacity Training Cycle with Computer, Elbow Supports and Heart Pulse Sensors",Gift Registry,http://www.walmart.com/ip/Exerpeutic-LX9-High-Capacity-Training-Cycle-with-Computer-Elbow-Supports-and-Heart-Pulse-Sensors/20999074,289.00,B008EP84GU,293891,533.19,http://www.amazon.com/Exerpeutic-Capacity-Training-Computer-Sensors/dp/B008EP84GU/ref=sr_1_1?ie=UTF8&qid=1414661965&sr=8-1&keywords=Exerpeutic+LX9+High-Capacity+Training+Cycle+with+Computer%2C+Elbow+Supports+and+Heart+Pulse+Sensors,Sports & Outdoors,~
1414627200,1414627200,7,"Magic Chef Portable Ice Maker, MCIM22TW",Gift Registry,http://www.walmart.com/ip/Magic-Chef-Portable-Ice-Maker-MCIM22TW/13308699,119.00,B00NFVV424,273900,283.47,http://www.amazon.com/27LB-PORTBLE-ICE-MAKR-WHT/dp/B00NFVV424/ref=sr_1_2?s=home-garden&ie=UTF8&qid=1414476171&sr=1-2&keywords=Magic+Chef+Portable+Ice+Maker%2C+MCIM22TW,Kitchen & Dining,~
1414972800,1415059200,7,"JumpOrange Commercial Grade 13' x 30' Rainbow Mega Wet/Dry Inflatable Bouncy House and Slide Combo, Red/Yellow/Blue",item can be shipped only within the U.S.,http://www.wayfair.com/JumpOrange-Rainbow-Mega-Wet-Dry-Inflatable-Commercial-Grade-Bouncy-House-and-Slide-Combo-JOC-CS30a-JPOG1018.html,2550.76,B009YQMM16,726578,6204.98,http://www.amazon.com/gp/product/B009YQMM16/ref=olp_product_details?ie=UTF8&me=,Toys & Games,~
1414972800,1414972800,7,Hello Kitty 2 Pc Bundle - Ride-on Electric Sports Car Plus Hello Kitty 3 Wheel Scooter,~,http://www.target.com/p/hello-kitty-sports-car-6-volt-battery-op-ride-on/-/A-15380926#prodSlot=_1_5,189.99,B00P6WMFUA,~,338.97,http://www.amazon.com/dp/B00P6WMFUA,~,~
1415145600,1415145600,14,Gazelle Freestyle,in stock,http://www.target.com/p/gazelle-freestyle/-/A-610520,199.99,B00005OU5T,197582,327.41,http://www.amazon.com/gp/product/B00005OU5T/ref=olp_product_details?ie=UTF8&me=,Sports & Outdoors,~
1415145600,1415145600,7,Disney Princess Ultimate Dream Castle,10/9/2014,http://www.walmart.com/ip/24430387,149.99,B00C74HWVC,46114,333.99,http://www.amazon.com/Disney-Princess-Ultimate-Dream-Castle/dp/B00C74HWVC/ref=sr_1_1?ie=UTF8&qid=1412850668&sr=8-1&keywords=Disney+Princess+Ultimate+Dream+Castle,Toys & Games,~
1414454400,1415145600,7,West Bend Electronic Versatility 6-QT Slow Cooker,10/28/2014,http://www.walmart.com/ip/West-Bend-Electronic-Versatility-6-QT-Slow-Cooker/17463884,49.99,B004512MNS,457824,124.48,http://www.amazon.com/Electrics-West-Bend-Versatility-Removable/dp/B004512MNS/ref=sr_1_fkmr2_3?s=home-garden&ie=UTF8&qid=1414502936&sr=1-3-fkmr2&keywords=West+Bend+Electronic+Versatility+6-QT+Slow+Cooker,Kitchen & Dining,4.97
1414454400,1415145600,14,"Hamilton Beach Large Capacity Counter Top Oven, With Rotisserie function",10/29/2014,http://www.walmart.com/ip/Hamilton-Beach-Large-Capacity-Counter-Top-Oven-With-Rotisserie-function/16503556,75.00,B00MFXDN2W,557019,169.99,http://www.amazon.com/Stainless-Contertop-convection-toaster-rotisserie/dp/B00MFXDN2W/ref=sr_1_4?s=home-garden&ie=UTF8&qid=1414568299&sr=1-4&keywords=Hamilton+Beach+Large+Capacity+Counter+Top+Oven%2C+With+Rotisserie+function,Kitchen & Dining,~
1415232000,1415232000,7,Schwinn 860 Treadmill,~,http://www.walmart.com/ip/16406020,1305.33,B00275R2PW,359589,2037.30,http://www.amazon.com/gp/product/B00275R2PW/ref=olp_product_details?ie=UTF8&me=,Sports & Outdoors,~
1415232000,1415232000,14,"Kid Trax Mini Cooper 6V Ride-On Car, Yellow",~,http://www.target.com/p/6-volt-mini-cooper/-/A-15222081#prodSlot=_1_6,179.99,B00BJ2ZEBS,279774,278.16,http://www.amazon.com/Kid-Trax-Cooper-Ride-On-Yellow/dp/B00BJ2ZEBS/ref=sr_1_12?ie=UTF8&qid=1415290582&sr=8-12&keywords=6V+mini+cooper,Toys & Games,~
1415232000,1415232000,7,Swing-N-Slide Grandview Twist Wood Complete Play Set,~,http://www.wayfair.com/Swing-n-Slide-Grandview-Twist-Complete-Swing-Set-PB-8272T-SNS1237.html,1167.00,B00CRJNSPG,344452,2030.49,http://www.amazon.com/gp/product/B00CRJNSPG/ref=olp_product_details?ie=UTF8&me=,Toys & Games,~
